project_name,project_ticker,project_link,project_round,project_total_raised,project_pre_valuation,project_categories,project_roi,project_date,project_total_investors
Beam,BEAM,https://icodrops.com/beam/,Node Sale Round,77750000,1690000000,Gaming,0.01,2024-12-01 00:00:00.000000,11
FLock,FLOCK,https://icodrops.com/flock-2/,Launchpool on Bybit,9000000,61500000,Artificial Intelligâ€¦,0.29,2024-12-31 00:00:00.000000,12
Sonic,SONIC,https://icodrops.com/sonic/,Liquidity Bootstrapping Pool,12000000,2310000000,Blockchain,118.63,2025-01-06 12:13:51.639285,7
aiPump,AIPUMP,https://icodrops.com/aipump/,IDO on Polkastarter,,6000000,AI Agents,,2025-01-06 10:13:51.640015,0
Zephyr,ZEFY,https://icodrops.com/zephyr/,Public Sale,561000,5500000,DeFi,,2024-09-01 00:00:00.000000,0
ArkeFi,RKFI,https://icodrops.com/arkefi/,IDO on Poolz,,20000000,Blockchain Service,,2025-01-03 00:00:00.000000,0
BIO Protocol,BIO,https://icodrops.com/bio-protocol/,Binance Launchpool,29900000,2330000000,DeSci,10.44,2024-12-24 00:00:00.000000,3
Pandana,PNDN,https://icodrops.com/pandana/,Presale,722000,24000000,Memecoin,,2024-12-01 00:00:00.000000,0
Fuel Network,FUEL,https://icodrops.com/fuel-network/,Public Sale,90900000,622000000,Layer-2,3.08,2024-12-17 00:00:00.000000,15
Huddle01,,https://icodrops.com/huddle01/,Node Sale Round,4500000,,Social,,2024-11-06 00:00:00.000000,10
